"products_id";"products_ean";"products_quantity";"products_shippingtime";"products_model";"group_permission_0";"group_permission_1";"group_permission_2";"group_permission_3";"products_sort";"products_image";"products_price";"products_discount_allowed";"products_date_added";"products_date_available";"products_weight";"products_status";"products_tax_class_id";"product_template";"options_template";"manufacturers_id";"products_ordered";"products_fsk18";"products_vpe";"products_vpe_status";"products_vpe_value";"products_startpage";"products_startpage_sort";"group_ids";"nc_ultra_shipping_costs";"gm_show_date_added";"gm_show_price_offer";"gm_show_weight";"gm_price_status";"gm_min_order";"gm_graduated_qty";"gm_options_template";"gm_priority";"gm_changefreq";"gm_show_qty_info";"gm_sitemap_entry";"products_image_w";"products_image_h";"gm_show_image";"properties_dropdown_mode";"properties_show_price";"use_properties_combis_weight";"use_properties_combis_quantity";"use_properties_combis_shipping_time";"product_type";"main_category_id"
"1";;"998.0000";"1";"ABC123";"0";"0";"0";"0";"0";"artikelbild.jpg";"16.7983";"0.00";"2008-08-08 17:19:46";NULL;"0.0000";"1";"0";NULL;NULL;"0";"1.0000";"0";"0";"0";"0.0000";"0";"0";;"0.0000";"0";"1";"0";"0";"1.0000";"1.0000";"product_options_dropdown.html";"0.5";"daily";"1";"1";"130";"130";"1";;;"0";"0";"0";"1";"1"
"5";;"1.0000";"1";"4";"0";"0";"0";"0";"0";"5_0.JPG";"19.0000";"0.00";"2007-09-16 18:49:43";"1000-01-01 00:00:00";"0.0000";"1";"0";NULL;NULL;"0";"0.0000";"0";"0";"0";"0.0000";"0";"0";;"0.0000";"0";"0";"0";"0";"1.0000";"1.0000";NULL;"0.5";"weekly";"0";"1";"120";"78";"1";;;"0";"0";"0";"1";"365"
